Date,Sample,Fruit Set,Head Thickness,Leaf Length,New Leaves,Truss Length,Stem Length Increase,Distance Btw Shoot Tip And 1St Flower Truss
2025-04-22,Row2W_MX,,10.8,31.5,,,,17.3
2025-04-22,Row3W_DRO,,8.67,29.8,,,,18.5
2025-04-22,Row4W_DRO,,9.18,26.6,,,,17.2
2025-04-22,Row5W_MX,,8.29,28.4,,,,17.4
2025-04-22,Row6E_DRO,,8.41,25.8,,,,13.5
2025-04-22,Row7E_MX,,7.47,29.8,,,,9.5
2025-04-22,Row8E_DRO,,8.95,28.4,,,,16
2025-04-22,Row9E_MX,,6.8,23.5,,,,9.3
2025-04-28,Row2W_MX,0,9.35,33,,,19.6,32
2025-04-28,Row3W_DRO,0,10.15,34,,,28.8,36
2025-04-28,Row4W_DRO,0,10.42,29,,,31,38
2025-04-28,Row5W_MX,0,9.58,32,,,19.1,38
2025-04-28,Row6E_DRO,0,9.81,30,,,22,33
2025-04-28,Row7E_MX,0,9.72,31,,,20.2,31
2025-04-28,Row8E_DRO,0,10.27,31,,,26.2,33
2025-04-28,Row9E_MX,0,8.63,29,,,25,41
2025-05-06,Row2W_MX,0,8.81,36,,,24,34
2025-05-06,Row3W_DRO,0,11.32,38,,,21,25
2025-05-06,Row4W_DRO,0,9.11,33,,,18,15
2025-05-06,Row5W_MX,0,10.14,33,,,22,29
2025-05-06,Row6E_DRO,0,9.92,36,,,20,29
2025-05-06,Row7E_MX,0,10.66,31,,,23,32
2025-05-06,Row8E_DRO,0,9.17,31,,,21,30
2025-05-06,Row9E_MX,0,9.26,32,,,22,31
2025-05-13,Row2W_MX,184.5,10.97,43,,3.5,29,24
2025-05-13,Row3W_DRO,0,12.54,41,,3,24,31
2025-05-13,Row4W_DRO,0,12.05,40,,3,24,20
2025-05-13,Row5W_MX,0,10.9,38,,3,24,34
2025-05-13,Row6E_DRO,0,11.18,38,,2.7,25,36
2025-05-13,Row7E_MX,0,11.31,39,,3,24,32
2025-05-13,Row8E_DRO,0,11.62,38,,3,24,19
2025-05-13,Row9E_MX,0,11.59,38,,4,22,26
2025-05-20,Row2W_MX,81,11.34,40,,3.2,25,28
2025-05-20,Row3W_DRO,288,11.94,41,,3.5,28,45
2025-05-20,Row4W_DRO,274.5,13.86,36,,3,23,30
2025-05-20,Row5W_MX,243,12.79,35,,4.5,23,38
2025-05-20,Row6E_DRO,315,12,40,,3.5,26,27
2025-05-20,Row7E_MX,202.5,12.2,38,,3.5,25,40
2025-05-20,Row8E_DRO,229.5,13.3,40,,3,25,28
2025-05-20,Row9E_MX,270,11.44,36,,4.5,25,34
2025-05-27,Row2W_MX,90,11.45,44,,4.5,24,21
2025-05-27,Row3W_DRO,90,11.05,45,,6,32,28
2025-05-27,Row4W_DRO,49.5,11.63,42,,5.5,30,23
2025-05-27,Row5W_MX,81,12.68,39,,5,28,17
2025-05-27,Row6E_DRO,72,13.27,44,,3.5,25,32
2025-05-27,Row7E_MX,76.5,11.41,40,,4.75,20,25
2025-05-27,Row8E_DRO,121.5,13.5,46,,3,33,36
2025-05-27,Row9E_MX,99,12.3,41,,4.5,35,29
2025-06-03,Row2W_MX,63,9.75,46,,4,27,23
2025-06-03,Row3W_DRO,40.5,10.78,43,,4.5,27,34
2025-06-03,Row4W_DRO,36,10.54,43,,4,25,28
2025-06-03,Row5W_MX,54,9.9,42,,4.5,23,25
2025-06-03,Row6E_DRO,72,11.96,45,,5,22,22
2025-06-03,Row7E_MX,58.5,11.74,45,,4,28,13
2025-06-03,Row8E_DRO,45,13.03,42,,4,30,30
2025-06-03,Row9E_MX,40.5,10,40,,4,30,14
2025-06-10,Row2W_MX,63,10.78,42,,4,29,30
2025-06-10,Row3W_DRO,135,10.2,43,,4,27,23
2025-06-10,Row4W_DRO,85.5,11.22,40,,6,29,14
2025-06-10,Row5W_MX,99,10.69,38,,4,27,29
2025-06-10,Row6E_DRO,90,12.5,38,,4,28,29
2025-06-10,Row7E_MX,81,11.42,42,,6.5,28,22
2025-06-10,Row8E_DRO,85.5,11.75,45,,4,31,37
2025-06-10,Row9E_MX,112.5,10.12,35,,6,31,18
2025-06-17,Row2W_MX,90,11.52,41,,4,30,19
2025-06-17,Row3W_DRO,117,11.62,41,,5.5,32,32
2025-06-17,Row4W_DRO,162,12.01,45,,5,33,27
2025-06-17,Row5W_MX,117,10.92,42,,4.5,31,27
2025-06-17,Row6E_DRO,117,10.51,42,,3,25,21
2025-06-17,Row7E_MX,85.5,10.87,43,,5.5,32,30
2025-06-17,Row8E_DRO,99,11.47,41,,4.5,34,25
2025-06-17,Row9E_MX,99,10.95,38,,6,34,36
2025-06-24,Row2W_MX,81,10.54,41,,36,34,5
2025-06-24,Row3W_DRO,135,11.52,38,,31,23,8
2025-06-24,Row4W_DRO,157.5,11.5,41,,36,37,4
2025-06-24,Row5W_MX,135,10.98,38,,34,16,4
2025-06-24,Row6E_DRO,112.5,10.63,38,,32,21,6
2025-06-24,Row7E_MX,135,11.2,39,,35,15,4.5
2025-06-24,Row8E_DRO,76.5,13.3,39,,34,18,3
2025-06-24,Row9E_MX,175.5,11.06,37,,38,21,4.5
2025-07-01,Row2W_MX,54,11.34,30,2,3,33,15
2025-07-01,Row3W_DRO,54,10.43,30,4,4,28,28
2025-07-01,Row4W_DRO,76.5,9.11,30,4,4,31,25
2025-07-01,Row5W_MX,22.5,9.42,31,3,4.5,27,17
2025-07-01,Row6E_DRO,18,10.36,34,3,4,28,27
2025-07-01,Row7E_MX,72,8.36,35,4,5,28,20
2025-07-01,Row8E_DRO,58.5,11.94,30,4,2,30,32
2025-07-01,Row9E_MX,40.5,9.18,29,4,3,24,24
2025-07-08,Row2W_MX,22.5,10.52,31,4,3,30,23
2025-07-08,Row3W_DRO,13.5,10.17,32,3,3.5,27,20
2025-07-08,Row4W_DRO,45,11.44,29,4,4,31,10
2025-07-08,Row5W_MX,13.5,12.19,33,5,6,28,13
2025-07-08,Row6E_DRO,18,11.3,32,5,2,29,12
2025-07-08,Row7E_MX,13.5,11.96,34,3,6,25,25
2025-07-08,Row8E_DRO,36,10.95,34,4,2,26,20
2025-07-08,Row9E_MX,-18,11.6,30,4,5,28,12
2025-07-14,Row2W_MX,22.5,9.43,30,3,6,31,31
2025-07-14,Row3W_DRO,22.5,9.51,30,5,3.5,30,13
2025-07-14,Row4W_DRO,18,9,31,4,4.5,30,21
2025-07-14,Row5W_MX,63,10.78,32,3,6,26,19
2025-07-14,Row6E_DRO,9,10.4,30,4,2.5,30,21
2025-07-14,Row7E_MX,13.5,11.11,33,5,3.5,29,35
2025-07-14,Row8E_DRO,13.5,10.88,35,5,3.5,30,22
2025-07-14,Row9E_MX,4.5,9.81,31,3,4,27,27
2025-07-22,Row2W_MX,22.5,9.1,35,5,6,26,18
2025-07-22,Row3W_DRO,31.5,8.75,32,3,6,28,20
2025-07-22,Row4W_DRO,27,10.28,33,3,3,32,11
2025-07-22,Row5W_MX,36,10.93,32,4,3.5,28,12
2025-07-22,Row6E_DRO,36,11.04,32,4,6,36,19
2025-07-22,Row7E_MX,22.5,9.41,34,3,4,26,19
2025-07-22,Row8E_DRO,13.5,11.79,32,4,3,32,16
2025-07-22,Row9E_MX,18,11.55,32,5,4,20,11
2025-07-29,Row2W_MX,40.5,10.7,32,3,5,25,22
2025-07-29,Row3W_DRO,36,10.52,31,4,4.5,24,23
2025-07-29,Row4W_DRO,36,11.12,35,2,4,25,14
2025-07-29,Row5W_MX,139.5,10.06,31,4,3.5,29,19
2025-07-29,Row6E_DRO,67.5,11.14,32,3,3.5,22.5,24
2025-07-29,Row7E_MX,49.5,11.66,31,4,6,21,26
2025-07-29,Row8E_DRO,49.5,10.99,24,3,3,26,16
2025-07-29,Row9E_MX,45,9.54,26,4,3,22,22
2025-08-06,Row2W_MX,144,11.22,41,5,3.5,29,15
2025-08-06,Row3W_DRO,121.5,11.07,36,5,4.5,34,16
2025-08-06,Row4W_DRO,135,10.47,34,5,4,25,19
2025-08-06,Row5W_MX,54,10.25,30,4,5.5,29,16
2025-08-06,Row6E_DRO,99,11.55,32,6,3,30,9
2025-08-06,Row7E_MX,121.5,11.68,37,5,5,31,25
2025-08-06,Row8E_DRO,157.5,12.6,32,5,2,27,12
2025-08-06,Row9E_MX,108,12.43,34,6,3,31,20
2025-08-12,Row2W_MX,27,9.38,21,4,3,22,10
2025-08-12,Row3W_DRO,58.5,10.54,38,3,5,28,20
2025-08-12,Row4W_DRO,67.5,9.31,29,3,4,28,10
2025-08-12,Row5W_MX,36,8.44,26,2,3,21,17
2025-08-12,Row6E_DRO,135,8.77,30,3,4,23,20
2025-08-12,Row7E_MX,85.5,11.99,32,4,5,23.5,17
2025-08-12,Row8E_DRO,108,11.31,33,3,3,21,20
2025-08-12,Row9E_MX,67.5,9.27,30,3,3,20,14
2025-08-19,Row2W_MX,166.5,10.63,33,4,4,27,16
2025-08-19,Row3W_DRO,117,10.12,33,5,5.5,26,10
2025-08-19,Row4W_DRO,103.5,10.2,36,4,5,30,19
2025-08-19,Row5W_MX,126,8,25,4,3,23,5
2025-08-19,Row6E_DRO,144,11.46,27,5,3,24,15
2025-08-19,Row7E_MX,108,10.28,30,4,2,23,12
2025-08-19,Row8E_DRO,45,11.66,31,6,3,28,15
2025-08-19,Row9E_MX,63,9.2,25,4,5,28,20
2025-08-26,Row2W_MX,81,11.95,35,5,3,23,21
2025-08-26,Row3W_DRO,58.5,10.95,35,5,4,25,15
2025-08-26,Row4W_DRO,130.5,10.49,36,5,2.5,32,12
2025-08-26,Row5W_MX,49.5,10.33,25,5,3,24,10
2025-08-26,Row6E_DRO,90,7.61,27,4,2.5,22,19
2025-08-26,Row7E_MX,108,9.26,30,3,5,27,17
2025-08-26,Row8E_DRO,40.5,11.27,37,4,2,30,23
2025-08-26,Row9E_MX,54,8.81,30,5,3.5,24,11
2025-09-02,Row2W_MX,99,10.46,36,4,3.5,24,18
2025-09-02,Row3W_DRO,72,11.41,40,4,4,24,22
2025-09-02,Row4W_DRO,112.5,10.84,40,6,2.5,25,14
2025-09-02,Row5W_MX,153,8.43,29,3,3,20,14
2025-09-02,Row6E_DRO,108,8.42,26,3,25,23,15
2025-09-02,Row7E_MX,189,10.23,31,4,4,23,24
2025-09-02,Row8E_DRO,189,11.26,24,4,2,28,15
2025-09-02,Row9E_MX,153,10.5,32,2,2,23,17
2025-09-09,Row2W_MX,112.5,10.25,32,4,4.5,24,22
2025-09-09,Row3W_DRO,85.5,10.95,36,4,6,25,13.5
2025-09-09,Row4W_DRO,94.5,10.31,34,4,2.5,25,9
2025-09-09,Row5W_MX,99,7.73,23,4,2,19.5,5
2025-09-09,Row6E_DRO,85.5,7.65,28,4,3,24,20.5
2025-09-09,Row7E_MX,94.5,10.72,29,4,2.5,25,10
2025-09-09,Row8E_DRO,76.5,9.59,29,4,2,23,8
2025-09-09,Row9E_MX,63,9.32,32,4,2.5,22,6
2025-09-16,Row2W_MX,108,10.74,32,4,4,22,12
2025-09-16,Row3W_DRO,90,10.64,34,4,3,24,19
2025-09-16,Row4W_DRO,94.5,9.47,36,3,3.5,26,15
2025-09-16,Row5W_MX,94.5,7.74,21,3,1.5,18,13
2025-09-16,Row6E_DRO,108,9.15,28,4,2.5,25.5,11.5
2025-09-16,Row7E_MX,90,9.79,21,4,3.5,28,15
2025-09-16,Row8E_DRO,117,11.31,30,4,3,27,17
2025-09-16,Row9E_MX,103.5,10.72,31,4,3,23,9.5
2025-09-23,Row2W_MX,0,9.7,35,3,4,27,17
2025-09-23,Row3W_DRO,103.5,10.76,34,5,3,27,11
2025-09-23,Row4W_DRO,112.5,9.44,33,4,2,26,5
2025-09-23,Row5W_MX,108,8.11,21,5,2,23,4
2025-09-23,Row6E_DRO,85.5,9.23,27,4,2,27,17
2025-09-23,Row7E_MX,81,8.98,31,5,1.5,25,4
2025-09-23,Row8E_DRO,130.5,10.4,34,4,2,21,6
2025-09-23,Row9E_MX,112.5,9.26,28,4,2.5,26,7
2025-09-30,Row2W_MX,198,9.16,31,4,2,25,6.5
2025-09-30,Row3W_DRO,117,10.67,34,5,4,29,20
2025-09-30,Row4W_DRO,81,9.6,31,4,2,28,12
2025-09-30,Row5W_MX,90,7.85,21,5,2,24,5.5
2025-09-30,Row6E_DRO,76.5,7.92,28,4,2,25,5.5
2025-09-30,Row7E_MX,76.5,9.76,29,4,1.5,23,7
2025-09-30,Row8E_DRO,94.5,11.18,35,4,2,25,12
2025-09-30,Row9E_MX,94.5,9.22,33,5,1.5,27,15
2025-10-07,Row2W_MX,76.5,10.66,32,4,2,26,9.5
2025-10-07,Row3W_DRO,94.5,11.09,34,4,2,32,10
2025-10-07,Row4W_DRO,94.5,9.27,34,4,2.5,31,16
2025-10-07,Row5W_MX,63,9.17,30,3,2,26,10.5
2025-10-07,Row6E_DRO,90,8.45,28,3,2.5,28,11
2025-10-07,Row7E_MX,90,10.65,34,4,2.5,30,10
2025-10-07,Row8E_DRO,121.5,10.77,34,4,2.5,27,9.5
2025-10-07,Row9E_MX,108,10.24,30,3,1.5,32,9
2025-10-14,Row2W_MX,76.5,9.95,30,4,2,25,10
2025-10-14,Row3W_DRO,81,10.15,36,3,2.5,25,19
2025-10-14,Row4W_DRO,49.5,8.53,30,3,2,25,15
2025-10-14,Row5W_MX,67.5,9.02,29,4,2,22,10
2025-10-14,Row6E_DRO,67.5,8.42,24,3,3,28,13
2025-10-14,Row7E_MX,45,7.96,25,2,2.5,20,7
2025-10-14,Row8E_DRO,67.5,10.33,27,4,2,28,15
2025-10-14,Row9E_MX,58.5,8.57,25,4,2,23,8
2025-10-21,Row2W_MX,49.5,9.34,33,3,3.5,25,12
2025-10-21,Row3W_DRO,85.5,10.65,33,4,2.5,26,7
2025-10-21,Row4W_DRO,72,7.76,31,3,3,24,14
2025-10-21,Row5W_MX,63,8.03,30,4,3,22,13
2025-10-21,Row6E_DRO,63,7.67,29,3,3,25,5
2025-10-21,Row7E_MX,49.5,9.04,30,4,1,24,6
2025-10-21,Row8E_DRO,90,8.88,30,3,3,26,5
2025-10-21,Row9E_MX,90,8.93,23,2,3,21,11.5
2025-10-28,Row2W_MX,58.5,8.4,2,3,2,23,12
2025-10-28,Row3W_DRO,90,10.65,3,4,3,35,9
2025-10-28,Row4W_DRO,58.5,8.48,3,4,3,23,15
2025-10-28,Row5W_MX,67.5,7.6,3,3,3,16,12
2025-10-28,Row6E_DRO,67.5,8.64,3,3,3,25,4
2025-10-28,Row7E_MX,85.5,10.12,4.5,3,4.5,25,7
2025-10-28,Row8E_DRO,36,8.33,2.5,3,2.5,23,7
2025-10-28,Row9E_MX,40.5,8.03,2,3,2,23,12
2025-11-04,Row2W_MX,58.5,8.51,28,3,3,21,13
2025-11-04,Row3W_DRO,63,7.56,27,3,3.5,19,11
2025-11-04,Row4W_DRO,67.5,8.09,26,3,3,20,16
2025-11-04,Row5W_MX,58.5,8.32,27,3,2,21,16
2025-11-04,Row6E_DRO,36,8.1,29,3,3,26,6
2025-11-04,Row7E_MX,45,9.27,27,3,2.5,23,4
2025-11-04,Row8E_DRO,58.5,8.5,22,4,3,19,8
2025-11-04,Row9E_MX,63,8.43,24,4,3,24,12
2025-11-11,Row2W_MX,72,9.47,30,4,3,20,13
2025-11-11,Row3W_DRO,58.5,10.28,23,3,5,24,12
2025-11-11,Row4W_DRO,72,9.38,31,4,3,23,18
2025-11-11,Row5W_MX,72,8.8,27,3,3,17,18
2025-11-11,Row6E_DRO,54,10.76,30,3,3,23,4.5
2025-11-11,Row7E_MX,63,10.37,37,3,3,22,8.5
2025-11-11,Row8E_DRO,67.5,8.53,26,3,2.75,18,10
2025-11-11,Row9E_MX,54,8.97,30,3,3.5,24,12
2025-11-18,Row2W_MX,112.5,7.89,31,4,4,22,14
2025-11-18,Row3W_DRO,67.5,8.59,30,3,4,21,13
2025-11-18,Row4W_DRO,81,11.77,33,4,3,24,8
2025-11-18,Row5W_MX,63,9.76,30,3,2,19,7
2025-11-18,Row6E_DRO,72,10.68,29,3,3.5,22.5,8.5
2025-11-18,Row7E_MX,90,10.7,33,3,3,23,13
2025-11-18,Row8E_DRO,90,9.19,29,4,4,26.5,13
2025-11-18,Row9E_MX,72,9.03,31,3,3,27,15
2025-11-25,Row2W_MX,18,10.21,32,3,4,23,19
2025-11-25,Row3W_DRO,81,9.54,34,4,4,26,19
2025-11-25,Row4W_DRO,81,11.81,40,4,3,25,13
2025-11-25,Row5W_MX,90,9.82,30,5,3,25,12
2025-11-25,Row6E_DRO,76.5,8.46,29,3,3,23,10.5
2025-11-25,Row7E_MX,81,10.36,40,4,3,23,16
2025-11-25,Row8E_DRO,76.5,9.47,29,4,2.5,24,17
2025-11-25,Row9E_MX,63,9.17,32,4,3.5,19.5,14.5
